"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"Aerococcus",0,15.9167486369762,25.4507368713966,0,14.3497806668565,2.16193801050662
"Aeromicrobium",0,1.36429274031224,0,0,0,0
"X.Aeromonadales.",0,0,0,0,0,0
"Aeromonas",0,1.36429274031224,2.38600658169343,0,2.60905103033754,0
"Afipia",0,2.27382123385374,0,0,0,0
"X.Agaricales.",0,1.81905698708299,0.795335527231143,1.55843281920875,0,0
"X.Agaricomycetes.",0,10.0048134289565,19.0880526535474,4.67529845762625,7.82715309101263,4.32387602101324
"Agaricus",0,0,0,0,0,0
"Agarivorans",0,0,0,0,1.30452551516877,0
"Aggregatibacter",0,0,0,0,0,0
"Agrius",0,0,0,0,0,1.08096900525331
"Agrobacterium",0,2.27382123385374,2.38600658169343,0,0,0
"Agrococcus",0,1.81905698708299,3.97667763615571,0,1.30452551516877,0
"Agrotis",0,0,0,0,0,0
"Ahjdlikevirus",0,0,0,0,0,0
"Ahrensia",0,0,0,0,0,0
"Ajellomyces",0,4.09287822093673,0.795335527231143,0,5.21810206067509,2.16193801050662
"Akkermansia",0,0,0,0,1.30452551516877,0
"Albugo",0,0,3.18134210892457,0,0,1.08096900525331
"X.Alcaligenaceae.",0,0,1.59067105446229,0,0,0
"Alcaligenes",0,0,0,0,0,1.08096900525331
"Alcanivorax",0,0,0,0,1.30452551516877,0
"Algoriphagus",0,1.81905698708299,3.18134210892457,0,0,4.32387602101324
"Alicycliphilus",0,0.454764246770748,0,0,0,0
"X.Alicyclobacillaceae.",0,0,0,1.55843281920875,0,0
"Alicyclobacillus",0,0,0,0,0,0
"Aliivibrio",0,0,0,0,0,1.08096900525331
"Alishewanella",9.50574619489651,0.454764246770748,1.59067105446229,0,0,1.08096900525331
"Alistipes",0,0.454764246770748,0,0,0,0
"Alkalibacterium",0,0,0,0,0,0
"Alkalilimnicola",0,0,0,0,0,0
"Alkalimonas",0,0,0,0,0,0
"Alkaliphilus",0,0,0,0,0,0
"Allochromatium",0,0.454764246770748,0.795335527231143,0,0,0
"Alloiococcus",0,0,0,0,0,0
"Alloprevotella",0,0,0,0,0,0
"Alloscardovia",0,0,0.795335527231143,0,0,2.16193801050662
"X.Alphaproteobacteria.",0,189.636690903402,427.890513650355,0,0,82.1536443992515
"Alternaria",0,1.81905698708299,2.38600658169343,0,1.30452551516877,3.24290701575993
"X.Alteromonadaceae.",0,0,0,0,0,0
"X.Alteromonadales.",0,1.36429274031224,2.38600658169343,3.1168656384175,1.30452551516877,3.24290701575993
"Alteromonas",0,0.454764246770748,0,0,2.60905103033754,0
"Amblyomma",0,0.909528493541496,0,1.55843281920875,0,0
"Aminobacterium",0,0,0,0,0,0
"Aminomonas",0,0,0,0,0,0
"Ammonifex",0,0,0,0,0,0
"X.Amoebophilaceae.",0,0.454764246770748,0,0,0,0
"Amphibacillus",0,0,0,0,0,0
"Amphimedon",0,0,0,1.55843281920875,0,1.08096900525331
"Amycolatopsis",0,0,0,0,0,0
"Amycolicicoccus",0,0.909528493541496,0.795335527231143,0,0,1.08096900525331
"Anabaena",0,5.00240671447823,3.18134210892457,0,3.91357654550631,1.08096900525331
"Anaerobaculum",0,0,0,0,0,0
"Anaerococcus",0,0,0,0,0,0
"Anaerofustis",0,0,0,0,0,0
"Anaeroglobus",0,0,0,0,1.30452551516877,0
"Anaerolinea",0,1.36429274031224,0,0,0,0
"Anaeromyxobacter",0,2.27382123385374,0.795335527231143,0,0,0
"Anaerostipes",0,0,0,0,0,0
"Anaerotruncus",0,0,0,0,0,0
"Anaplasma",0,0,0,0,0,1.08096900525331
"X.Anaplasmataceae.",0,0,0.795335527231143,0,0,0
"Aneurinibacillus",0,0,0,0,0,0
"Angomonas",0,0,0.795335527231143,0,0,0
"Annulohypoxylon",0,0.454764246770748,0.795335527231143,0,2.60905103033754,0
"Anopheles",0,0,0,0,0,2.16193801050662
"Anoplophora",0,0,0,1.55843281920875,0,77.8297683782383
"Anoxybacillus",0,0,0,0,2.60905103033754,0
"Aphanomyces",0,0,0,0,0,0
"X.Aphididae.",0,0,0,0,0,0
"Aphrocallistes",0,0,0,0,0,0
"X.Apicomplexa.",0,0,0.795335527231143,0,0,0
"Apis",0,0,6.36268421784914,7.79216409604375,1.30452551516877,4.32387602101324
"Aquabacterium",0,0.454764246770748,0,0,0,0
"Aquamicrobium",0,0,0,0,0,0
"Aquifex",0,0,0,0,0,0
"X.Aquificaceae.",0,0,0,0,0,0
"X.Aquificae.",0,0,0,0,0,0
"X.Aquificales.",0,0,0,0,0,0
"Aquimarina",0,0.454764246770748,0,0,0,0
"X.Arachnida.",0,0,0.795335527231143,0,0,0
"X.Araneae.",0,0,0,0,0,0
"Arcanobacterium",0,0,0,0,0,0
"X.Archaea.",0,2.72858548062449,0,0,0,0
"Archaeoglobus",0,0,0,0,0,0
"Archiearis",0,0,0,0,0,1.08096900525331
"Arcobacter",0,0.909528493541496,0,0,1.30452551516877,0
"Arcticibacter",0,2.27382123385374,2.38600658169343,0,2.60905103033754,0
"X.Armatimonadetes.",0,0,0,0,1.30452551516877,0
"Aromatoleum",0,0.454764246770748,0,0,0,0
"Arsenophonus",0,8.64052068864421,0,0,0,1.08096900525331
"Arthrobacter",0,315.606387258899,146.34173701053,567.269546191985,219.160286548354,94.0443034570379
"Arthroderma",0,1.36429274031224,0,0,0,1.08096900525331
"X.Arthrodermataceae.",0,0.909528493541496,0,0,0,0
"X.Arthropoda.",61.7873502668273,1.36429274031224,2.38600658169343,18.701193830505,2.60905103033754,87.5584894255181
"Arthrospira",0,0,0.795335527231143,0,1.30452551516877,0
"Asaia",0,0.454764246770748,0,0,0,0
"X.Ascomycota.",0,1527.09834065617,1320.2569752037,296.102235649663,1206.68610153111,1031.24443101166
"X.Aspergillaceae.",0,5.91193520801972,1.59067105446229,0,2.60905103033754,7.56678303677316
"Aspergillus",0,2.72858548062449,0.795335527231143,0,0,0
"Asticcacaulis",0,0.454764246770748,3.18134210892457,0,0,0
"Atopobium",0,0.909528493541496,0,0,0,0
"Atta",0,0,0,0,1.30452551516877,3.24290701575993
"X.Aurantimonadaceae.",0,0,0,0,0,0
"Aurantimonas",0,0,0,0,0,0
"Aureobasidium",0,0,0,0,0,3.24290701575993
"Aureococcus",0,0,0,0,0,0
"Austwickia",0,1.81905698708299,0.795335527231143,0,1.30452551516877,0
"Avibacterium",0,0,0,0,0,2.16193801050662
"Azoarcus",0,0,0,0,0,0
"Azohydromonas",0,0.454764246770748,0,0,0,0
"Azorhizobium",0,0,0.795335527231143,0,0,1.08096900525331
"Azospira",0,0,0,0,0,0
"Azospirillum",0,2.72858548062449,0.795335527231143,0,0,1.08096900525331
"Azotobacter",0,0,0.795335527231143,0,0,0
"X.Bacillaceae.",0,13.6429274031224,0,0,0,0
"X.Bacillales.",0,17.7358056240592,0,0,0,0
"X.Bacillariophyceae.",0,0.454764246770748,0,0,0,0
"X.Bacillariophyta.",0,1.81905698708299,0,0,1.30452551516877,0
"X.Bacilli.",0,16.3715128837469,6.36268421784914,0,0,19.4574420945596
"Bacillus",0,59.1193520801973,0,0,0,50.8055432469055
"X.Bacteria.",0,924.08094943816,551.962855898413,0,0,518.865122521588
"Bacteriovorax",0,0.454764246770748,8.74869079954257,0,0,1.08096900525331
"X.Bacteroidales.",0,10.914341922498,1.59067105446229,0,1.30452551516877,0
"Bacteroides",0,5.91193520801972,3.18134210892457,0,0,4.32387602101324
"X.Bacteroidetes.",0,254.667978191619,206.787237080097,0,0,0
"Bactrocera",4.75287309744825,0,0,0,1.30452551516877,12.9716280630397
"Badnavirus",0,0.454764246770748,0,0,0,0
"Barnesiella",0,0.454764246770748,0,0,0,0
"Bartonella",4.75287309744825,5.45717096124898,29.4274145075523,104.414998886986,20.8724082427003,7.56678303677316
"Basfia",0,0,0,0,0,1.08096900525331
"X.Basidiomycota.",47.5287309744826,35.0168470013476,194.85720417163,14.0258953728788,30.0040868488817,32.4290701575993
"Batrachochytrium",0,0.454764246770748,0,0,0,0
"Baudoinia",0,30.4692045336401,32.6087566164769,3.1168656384175,20.8724082427003,6.48581403151986
"Bdellovibrio",0,1.36429274031224,0.795335527231143,0,0,0
"X.Bdellovibrionales.",9.50574619489651,0,0,0,0,0
"Beauveria",0,0.454764246770748,0.795335527231143,0,0,1.08096900525331
"Beenakia",0,0,0.795335527231143,0,0,0
"Beggiatoa",0,0.909528493541496,0,0,0,1.08096900525331
"Beijerinckia",0,0,0,0,0,0
"X.Beijerinckiaceae.",0,0.454764246770748,0,0,0,0
"Belliella",0,1.36429274031224,1.59067105446229,0,1.30452551516877,0
"Bergeyella",0,0.454764246770748,0,0,0,0
"Bermanella",0,0.454764246770748,0,0,0,0
"X.Betaproteobacteria.",0,0,0,0,0,0
"Beutenbergia",0,0,0,0,0,0
"Bhargavaea",0,0,0,0,1.30452551516877,0
"Bibersteinia",0,0,0,0,0,0
"X.Bifidobacteriaceae.",0,0.454764246770748,41.3574474160194,38.9608204802188,1.30452551516877,65.9391093204519
"Bifidobacterium",0,2.72858548062449,129.639690938676,110.648730163821,26.0905103033754,167.550195814263
"Bilophila",0,0,0,0,0,0
"Bipolaris",0,21.8286838449959,27.0414079258589,0,11.7407296365189,16.2145350787996
"Bizionia",0,0,0,0,0,0
"Blastococcus",0,4.54764246770748,2.38600658169343,0,0,1.08096900525331
"Blastomonas",0,1.81905698708299,0,0,0,1.08096900525331
"Blastopirellula",0,0,0,0,0,0
"Blattabacterium",0,0.454764246770748,0,0,0,0
"Blautia",0,0.454764246770748,0,0,2.60905103033754,0
"Blumeria",0,3.18334972739524,3.97667763615571,3.1168656384175,2.60905103033754,3.24290701575993
"Bombyx",0,0,0,1.55843281920875,0,24.8622871208261
"Bordetella",0,0,0,0,0,0
"Borrelia",0,0,0,0,1.30452551516877,0
"X.Botryosphaeriaceae.",0,1.81905698708299,3.18134210892457,0,1.30452551516877,3.24290701575993
"Botrytis",0,50.0240671447823,38.971440834326,14.0258953728788,40.4402909702319,24.8622871208261
"Brachybacterium",0,7.27622794833197,3.97667763615571,0,1.30452551516877,6.48581403151986
"Brachyspira",0,0,0,0,0,0
"X.Bradyrhizobiaceae.",0,28.6501475465571,0,0,0,18.3764730893063
"Bradyrhizobium",0,0,0,0,0,0
"Brahmaea",0,0,0,0,0,1.08096900525331
"Brenneria",0,0,0,0,2.60905103033754,0
"Brevibacillus",0,0.454764246770748,2.38600658169343,0,0,0
"Brevibacterium",0,4.09287822093673,4.77201316338686,0,0,0
"Brevundimonas",0,5.91193520801972,7.15801974508029,0,0,1.08096900525331
"Brochothrix",0,0,0,0,0,0
"Brucella",0,0,0,0,0,0
"X.Brucellaceae.",0,0,0,0,0,0
"Buchnera",0,0,0,0,7.82715309101263,646.419465141479
"Burkholderia",0,0,0,0,0,0
"X.Burkholderiaceae.",0,0,0,0,0,0
"X.Burkholderiales.",0,0,0,0,0,0
"Butyricicoccus",0,0,0,0,0,0
"Butyrivibrio",0,0,0,0,0,0
"Byssochlamys",0,2.27382123385374,0.795335527231143,0,0,1.08096900525331
"Caenispirillum",0,0,0,0,0,0
"Caenorhabditis",4.75287309744825,3.63811397416598,1.59067105446229,4.67529845762625,2.60905103033754,5.40484502626655
"Caldalkalibacillus",0,0,0.795335527231143,0,0,0
"Caldanaerobacter",0,0,0,0,0,0
"Caldicellulosiruptor",0,0,0,0,0,0
"Caldilinea",0,0.454764246770748,0,0,0,0
"Calditerrivibrio",0,0,0,0,0,0
"Caldithrix",0,0,0,0,0,0
"Caligus",0,0,0,0,0,0
"Caloramator",0,0,0,0,0,0
"Calothrix",0,7.27622794833197,3.18134210892457,3.1168656384175,9.1316786061814,3.24290701575993
"Camponotus",4.75287309744825,0.454764246770748,0,0,0,12.9716280630397
"Campylobacter",0,0,0,0,0,0
"X.Campylobacteraceae.",0,0,0,0,0,0
"X.Campylobacterales.",0,0,0,0,0,0
"Candida",0,0,0,0,0,0
"Candidatus_Accumulibacter",0,0,0,0,0,0
"Candidatus_Acetothermum",0,0,0,0,0,1.08096900525331
"Candidatus_Actinomarina",0,0,0.795335527231143,0,0,0
"Candidatus_Amoebophilus",0,0,0,0,1.30452551516877,0
"Candidatus_Aquiluna",0,0,0,0,0,0
"Candidatus_Arthromitus",0,0,0,0,0,0
"Candidatus_Atelocyanobacterium",0,0,0,0,0,1.08096900525331
"Candidatus_Azobacteroides",0,0,0,0,0,0
"Candidatus_Caldiarchaeum",0,0,0,0,0,0
"Candidatus_Cardinium",4.75287309744825,0,0,0,1.30452551516877,1.08096900525331
"Candidatus_Chloracidobacterium",0,0.909528493541496,0,0,0,0
"Candidatus_Cloacimonas",0,0,0,0,0,0
"Candidatus_Competibacter",0,0.454764246770748,0,0,1.30452551516877,0
"Candidatus_Contendobacter",0,0,0,0,0,0
"Candidatus_Desulforudis",0,0,0,0,0,0
"Candidatus_Endolissoclinum",0,0.454764246770748,0,0,0,0
"Candidatus_Entotheonella",0,0,0,0,0,0
"Candidatus_Glomeribacter",0,0,0,0,0,0
"Candidatus_Hamiltonella",0,119.602996900707,0.795335527231143,0,0,68.1010473309585
"Candidatus_Ishikawaella",0,0.454764246770748,0,0,0,3.24290701575993
"Candidatus_Koribacter",0,0,0,0,0,0
"Candidatus_Kuenenia",0,0,0,0,0,0
"Candidatus_Methylomirabilis",0,0,0,0,0,0
"Candidatus_Micrarchaeum",0,0,0,0,0,0
"Candidatus_Microthrix",0,0,0,0,0,0
"Candidatus_Midichloria",0,0,0,0,0,0
"Candidatus_Moranella",0,0,0,0,0,0
"Candidatus_Nicolleia",0,0,0,0,0,0
"Candidatus_Nitrosoarchaeum",0,0,0,0,0,0
"Candidatus_Pelagibacter",0,0,0.795335527231143,0,0,0
"Candidatus_Phytoplasma",0,0,0,0,0,0
"Candidatus_Profftella",0,0,0,1.55843281920875,0,0
"Candidatus_Protochlamydia",0,0,0,0,0,0
"Candidatus_Puniceispirillum",0,0.454764246770748,0,0,0,0
"Candidatus_Regiella",0,0,0,0,2.60905103033754,3.24290701575993
"X.Candidatus_Saccharibacteria.",0,1.36429274031224,5.567348690618,0,5.21810206067509,0
"Candidatus_Saccharimonas",0,0,1.59067105446229,0,0,0
"Candidatus_Solibacter",0,0,0,0,0,0
"Candidatus_Sulcia",0,0,0,0,0,0
"Candidatus_Symbiobacter",0,0,0,0,0,0
"Cantharellus",0,0.454764246770748,0,0,0,0
"Capitella",9.50574619489651,3.18334972739524,0.795335527231143,0,2.60905103033754,1.08096900525331
"Capnocytophaga",0,0,0,0,0,0
"X.Capnodiales.",9.50574619489651,91.8623778476911,89.8729145771191,12.46746255367,67.8353267887761,76.748799372985
"Capronia",0,8.18575644187347,2.38600658169343,3.1168656384175,3.91357654550631,1.08096900525331
"Carboxydothermus",0,0,0,0,0,0
"Cardiobacterium",0,0,0.795335527231143,0,0,0
"X.Carnobacteriaceae.",0,0,0,0,0,0
"Carnobacterium",0,0,0,0,0,0
"Castellaniella",0,0,0,0,0,0
"Catellicoccus",4.75287309744825,0,0,0,0,0
"Catenovulum",0,0,0,0,0,0
"Catenulispora",0,0,0,0,0,0
"Catonella",0,0,0,0,0,0
"X.Caudovirales.",0,0,0,0,0,0
"Caulobacter",0,1.36429274031224,0,0,0,0
"X.Caulobacteraceae.",0,0,0,0,0,0
"Cecembia",0,0.454764246770748,0,0,1.30452551516877,1.08096900525331
"Cedecea",0,0,0,0,1.30452551516877,8.64775204202647
"Celeribacter",0,0,0.795335527231143,0,0,0
"X.Cellulomonadaceae.",0,1.81905698708299,0,0,1.30452551516877,0
"Cellulomonas",0,2.72858548062449,0,0,0,0
"Cellulophaga",0,0,0.795335527231143,0,2.60905103033754,0
"Cellulosilyticum",0,0,0,0,0,0
"Cellulosimicrobium",0,0,0,0,0,0
"Cellvibrio",0,1.36429274031224,0,0,0,1.08096900525331
"Centipeda",0,0,0,0,0,0
"Cerapachys",0,0.454764246770748,0,0,0,2.16193801050662
"Ceratitis",23.7643654872413,0,0,1.55843281920875,0,20.5384110998129
"Ceratocystis",0,0.454764246770748,0,1.55843281920875,2.60905103033754,0
"Cerebratulus",0,0.454764246770748,0,0,0,0
"Ceriporiopsis",0,0.909528493541496,2.38600658169343,0,0,2.16193801050662
"Cesiribacter",0,1.36429274031224,0,0,0,1.08096900525331
"Cetobacterium",0,0,0,0,0,0
"X.Chaetomiaceae.",0,2.27382123385374,0,0,1.30452551516877,15.1335660735463
"Chaetomium",0,5.00240671447823,1.59067105446229,0,0,7.56678303677316
"X.Chaetothyriales.",0,36.8359039884306,10.3393618540049,4.67529845762625,14.3497806668565,10.8096900525331
"Chamaesiphon",0,2.72858548062449,0,0,2.60905103033754,0
"Chelativorans",0,0,1.59067105446229,0,0,0
"Chitinophaga",0,10.0048134289565,0,0,0,3.24290701575993
"Chlamydia",0,0.454764246770748,0,0,0,0
"X.Chlamydiaceae.",0,0.454764246770748,0,0,0,0
"X.Chlamydiales.",0,0.454764246770748,0,0,0,0
"Chlorobaculum",0,0,0,0,0,0
"X.Chlorobiaceae.",0,0,0,0,0,0
"Chlorobium",0,0,0,0,1.30452551516877,0
"X.Chloroflexales.",0,0,0,0,0,0
"X.Chloroflexi.",0,0.909528493541496,0,0,0,0
"X.Chloroflexia.",0,0,0,0,0,0
"Chloroflexus",4.75287309744825,0.454764246770748,0.795335527231143,1.55843281920875,0,0
"Chloroherpeton",0,0,0,0,1.30452551516877,0
"Chlorovirus",0,0.454764246770748,0,0,0,0
"Chondromyces",0,1.36429274031224,0,0,0,0
"Chondrus",0,0,0,0,0,0
"X.Chromadorea.",0,0,0,0,0,0
"X.Chromatiaceae.",0,0,0,0,2.60905103033754,3.24290701575993
"X.Chromatiales.",0,0.454764246770748,0,0,0,1.08096900525331
"Chromobacterium",0,0,0,0,0,1.08096900525331
"Chromohalobacter",0,0.454764246770748,0,0,0,0
"X.Chroococcales.",0,4.09287822093673,2.38600658169343,0,2.60905103033754,3.24290701575993
"Chroococcidiopsis",0,22.7382123385374,7.15801974508029,0,16.958831697194,1.08096900525331
"Chryseobacterium",0,10.4595776757272,93.8495922132749,0,14.3497806668565,0
"Chthoniobacter",0,0,0,0,0,0
"Chthonomonas",0,0,0,0,0,0
"Citreicella",0,1.36429274031224,0,0,0,0
"Citrobacter",0,0.909528493541496,2.38600658169343,6.233731276835,9.1316786061814,20.5384110998129
"Cladonia",0,0,0.795335527231143,0,0,0
"Cladophialophora",0,11.8238704160394,9.54402632677372,0,7.82715309101263,2.16193801050662
"Cladosporium",0,0.454764246770748,0.795335527231143,0,0,0
"Clavibacter",0,0,0,0,0,0
"Claviceps",0,3.63811397416598,63.6268421784914,1.55843281920875,0,3.24290701575993
"X.Clavicipitaceae.",0,0,3.18134210892457,0,1.30452551516877,0
"Clavispora",0,0,0,0,0,0
"Clonorchis",0,0,0,0,0,0
"X.Clostridia.",0,0,0,0,0,0
"X.Clostridiaceae.",0,0,0,0,0,1.08096900525331
"X.Clostridiales.",0,8.64052068864421,0,0,0,0
"X.Clostridiales_Family_XIII._Incertae_Sedis.",0,0,0.795335527231143,0,0,0
"X.Clostridiales_Family_XI._Incertae_Sedis.",0,0,0,0,0,0
"Clostridium",0,6.36669945479047,0,0,0,0
"Coccidioides",0,0,0.795335527231143,0,0,0
"Coccinella",0,0,0,0,0,2.16193801050662
"X.Coccinellidae.",0,0,0,0,0,6.48581403151986
"Coleofasciculus",0,1.36429274031224,0,0,0,1.08096900525331
"X.Coleoptera.",0,0,0,0,0,145.930815709197
"Colletotrichum",0,7.27622794833197,4.77201316338686,0,0,4.32387602101324
"Collimonas",0,0.454764246770748,0,0,0,0
"Collinsella",0,0,0,0,0,0
"Colwellia",0,0.909528493541496,0,0,0,0
"X.Comamonadaceae.",0,0,0,0,0,0
"Comamonas",0,0,0,0,0,0
"Commensalibacter",4.75287309744825,0.454764246770748,6.36268421784914,20.2596266497138,1.30452551516877,1.08096900525331
"Conexibacter",0,0,0,0,0,0
"Congregibacter",0,0,0,0,0,0
"Coniosporium",4.75287309744825,41.8383107029088,22.269394762472,14.0258953728788,18.2633572123628,7.56678303677316
"Coprinopsis",0,1.36429274031224,0.795335527231143,0,0,0
"Coprobacillus",0,0,0,0,0,0
"Coprococcus",0,0.454764246770748,0,0,0,1.08096900525331
"Coprothermobacter",0,0.454764246770748,0,0,0,0
"Coptotermes",0,0,0,1.55843281920875,0,0
"Coraliomargarita",0,0,0,0,0,0
"Corallococcus",0,0,0,0,0,0
"Cordyceps",0,0,0,0,0,0
"X.Cordycipitaceae.",0,0,0,0,0,1.08096900525331
"Corethrella",0,0,0,0,0,0
"X.Coriobacteriaceae.",0,0,0.795335527231143,0,0,0
"X.Corynebacteriaceae.",0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0
"Coxiella",0,0,0.795335527231143,0,0,0
"X.Coxiellaceae.",0,0.454764246770748,0,0,0,1.08096900525331
"Crassostrea",4.75287309744825,0.454764246770748,0,0,0,0
"X.Crenarchaeota.",0,0,0,0,0,0
"Crinalium",0,4.09287822093673,0,0,0,0
"Crithidia",0,0,0,0,2.60905103033754,0
"Croceibacter",0,0.454764246770748,0,0,0,0
"Crocosphaera",0,0,0.795335527231143,0,0,0
"Cronobacter",0,0,3.97667763615571,0,11.7407296365189,0
"Cryphonectria",0,0.909528493541496,0,0,0,0
"Cryptobacterium",0,0,0,0,0,0
"Cryptococcus",0,0,0,1.55843281920875,0,0
"Cryptosporangium",0,0.454764246770748,0,0,0,0
"Culex",0,0,0,1.55843281920875,0,0
"X.Culicidae.",4.75287309744825,0,0,0,0,2.16193801050662
"Cupriavidus",0,0,0,0,0,0
"Curtobacterium",0,5.91193520801972,0,0,0,0
"Curvibacter",0,0,0,0,0,0
"Curvularia",0,0,0,0,0,1.08096900525331
"Cyanidioschyzon",0,0,0.795335527231143,0,0,0
"X.Cyanobacteria.",28.5172385846895,633.941359998423,400.053770197265,127.791491175118,473.542762006264,124.311435604131
"Cyanobacterium",0,0.454764246770748,0.795335527231143,1.55843281920875,0,1.08096900525331
"Cyanobium",0,0,0,0,0,0
"Cyanothece",0,3.18334972739524,1.59067105446229,0,0,2.16193801050662
"X.Cyclobacteriaceae.",0,3.18334972739524,1.59067105446229,0,0,0
"Cyclobacterium",0,0.454764246770748,0,0,0,0
"Cycloclasticus",0,0,0,0,0,1.08096900525331
"Cylindrospermopsis",0,0,0,0,0,0
"Cylindrospermum",0,3.63811397416598,0,0,6.52262757584386,0
"Cyphellophora",4.75287309744825,15.4619843902054,6.36268421784914,0,3.91357654550631,5.40484502626655
"Cystobacter",0,1.36429274031224,0,0,0,4.32387602101324
"X.Cystobacteraceae.",0,0,0,0,0,2.16193801050662
"Cytophaga",0,0,0,0,0,0
"X.Cytophagaceae.",0,39.5644894690551,19.8833881807786,3.1168656384175,9.1316786061814,5.40484502626655
"X.Cytophagales.",0,32.7430257674939,16.702046071854,0,23.4814592730379,18.3764730893063
"X.Cytophagia.",0,0.454764246770748,0,0,0,0
"Dacryopinax",0,0,0.795335527231143,0,0,0
"Dactylellina",0,0.909528493541496,1.59067105446229,0,0,0
"Dactylococcopsis",0,0,0,1.55843281920875,1.30452551516877,0
"Daldinia",0,0,0,0,0,0
"Danaus",0,0,0,0,0,3.24290701575993
"Daphnia",0,0.454764246770748,0,0,0,3.24290701575993
"Davidiella",0,0,0,0,0,0
"Debaryomyces",0,0.454764246770748,0,0,2.60905103033754,0
"X.Debaryomycetaceae.",0,0,0,0,0,0
"Dechloromonas",0,0,0,0,0,0
"Deferribacter",0,0,0,0,0,0
"X.Deferribacteraceae.",0,0,0,0,0,0
"Defluviimonas",0,0.454764246770748,0,0,0,3.24290701575993
"Dehalobacter",0,0,0,0,0,0
"Dehalococcoides",0,0,0,0,0,0
"X.Dehalococcoidia.",0,0,0,0,0,0
"Dehalogenimonas",0,0,0,1.55843281920875,0,0
"X.Deinococcales.",0,0.454764246770748,0.795335527231143,0,0,0
"X.Deinococci.",0,0.454764246770748,2.38600658169343,0,2.60905103033754,1.08096900525331
"Deinococcus",0,7.27622794833197,10.3393618540049,0,0,2.16193801050662
"X.Deinococcus.Thermus.",0,0,0.795335527231143,0,0,0
"Delftia",0,0,0,0,0,0
"X.Deltaproteobacteria.",0,0,0,0,0,0
"Dendroctonus",0,0,0,0,0,75.6678303677317
"Denitrovibrio",0,0,0,0,0,0
"Dermabacter",0,0,0,0,0,0
"X.Dermabacteraceae.",0,1.36429274031224,0,0,0,2.16193801050662
"X.Dermacoccaceae.",0,0,0,0,0,0
"Dermacoccus",0,0,0,0,0,0
"X.Dermatophilaceae.",0,1.81905698708299,2.38600658169343,0,1.30452551516877,1.08096900525331
"Desmospora",0,1.81905698708299,0,0,0,2.16193801050662
"Desulfarculus",0,0,0,0,0,0
"Desulfatibacillum",0,0,0.795335527231143,0,0,0
"Desulfitobacterium",0,0,0,0,0,0
"Desulfobacca",0,0,0,0,0,1.08096900525331
"Desulfobacter",0,0,0,0,0,0
